cap_inc,lab_inc,financial_assets,nonfinanc_assets,weights
0,9600,0,199758,166.643059
33000,35000,4368606,565332,35.134882
2500,34140,7000,118801,1461.343897
0,12000,600,120202,2065.351958
42000,0,97000,1750000,21.4512805
4740,55360,29000,400000,3093.274476
0,0,10400,489708,3011.5341445
0,14400,0,50000,992.9835135
0,22800,73893,0,5437.960745
0,36000,2877,54500,167.538404
107,0,25419,118000,1306.893786
0,0,30,0,1420.8877645
1800,24624,2005,0,7129.7842795
8400,0,141000,302000,1253.360854
150,31404,18900,312000,332.915284
0,24000,8300,65000,1240.185229
0,26244,8000,186000,1395.67885
4800,0,1100,380000,3047.093965
4,36324,30040,187000,898.718063
0,46800,8900,0,2307.3175475
0,15264,741,400,1608.489674
12000,0,300,217521,24.6834745
129000,0,28521,2879413,25.1342845
41000,0,995107,1051771,10.0893465
13591,58000,1113358,2788598,5.5945185
10050,0,307000,321114,1683.5837965
0,7800,150,120202,2338.325562
900,8028,85,135900,3000.3388795
25600,28000,235000,1310000,3127.3210715
0,10800,880,67000,2157.986885
15,0,4110,142641,1152.916758
313753,24000,5290000,3066700,57.0224905
6000,14000,15000,138668.16,2665.3709795
1000,0,42000,270202,1306.893786
0,31668,12000,0,5997.7064035
10290,30864,136000,778311,156.3815365
0,0,32100,434866,1306.893786
22200,67448,58000,296062,5942.3524635
100,0,13000,126010,3221.5216875
0,0,8356,337814,34.6552915
3030,54600,155700,540905,974.855136
175610,0,4319762,1370000,29.1078815
0,50292,8000,250000,2068.7728175
0,29004,6441,150000,3166.3745855
8341.199999999999,19462.8,2000,741870,7337.0342855
10920,25200,23520,157000,1570.0063965
12,57900,30000,250000,1069.9624395
6360,66360,46000,390000,1557.5539835
300,0,48000,300000,2731.96919
0,0,481,104933,1619.492266
0,0,15926,592870,468.778893
0,0,75001,294175,255.1101135
40100,30000,1703285,880000,33.646641
0,43992,16000,206282.2,1977.027667
203,0,114000,394000,1253.360854
0,0,2000,35770,1563.2414885
97501,41600,3815773,2735716,30.4430935
0,0,1000,300000,1274.0304535
50642,115000,725793,1265000,3.3923715
0,13200,20000,89575,1454.952917
500,0,95850,0,35.714846
15,33720,8700,37500,1233.2304715
0,0,4806,200,4500.898803
0,19200,1600,156263,3182.465491
0,14400,104000,350300,222.1715185
500,0,1441819,2000000,17.8566465
2700,6300,15265,172687,5463.054409
0,0,6010,561179,2262.0387425
0,27408,19149,132705,1616.249515
0,3600,1600,68030,1133.908179
50,0,3100,82000,17.7101705
0,9720,35800,150000,1474.8066395
11066.4,32553.6,8574,112619,650.8967265
78,0,127327,680959.76,2640.327547
0,0,30000,295505,1480.5036205
0,102000,22000,375457,917.5964025
0,8400,13724,61821,1295.4977575
0,69600,33800,1477754,4504.0363735
0,6900,3146,50000,5182.9455265
26000,0,394300,2260000,50.9714275
0,0,500,0,4500.898803
0,0,10000,160016,1768.676682
0,0,1278,490000,24.207393
5000,0,192000,725000,189.692362
0,0,600,174765,886.2095025
0,0,300,22814.5,695.3596765
0,18588,400,0,2403.304408
0,26880,36800,55000,2273.41036
15000,65996,52000,100100,1013.669236
0,14400,39975,2683728,46.363133
0,0,35,0,3247.6112535
100,42000,129000,180000,1944.2952535
0,0,3000,480942,35.714846
0,0,0,24040,1693.549148
6884,27312,678908,186162,897.2683815
1,21600,2000,80000,1642.5313575
0,0,30000,50000,630.006037
50000,0,950000,1080253,27.800999
0,0,9718,200000,790.805728
74151,32759.999999999996,724379,3385997,13.772381
0,0,15000,90000,487.5158925
0,10200,600,260000,1449.731258
5882.7,13726.3,63400,840000,3195.871387
0,0,88000,0,1184.838653
0,0,70000,132223,1799.923215
48600,0,65000,344501,1077.332188
130,0,13649,278480,951.4182245
2100,0,704000,2982664,34.6552915
0,14292,0,106726,1362.0044315
0,25992,7300,116000,1717.8154975
610,0,55968,113000,105.277607
0,0,0,0,2521.835378
4800,117076,3500,460000,1232.955165
80,21600,23000,117000,1169.6133395
2182,0,70602,30000,1397.705694
46161,75600,553447,1642312,24.558154
13200,14000,8000,1688746,21.4512805
324,3360,26000,93725,957.1745065
0,18000,4497,0,4288.264909
18100,0,1045000,651748,21.4512805
12246,0,17611,61978,2044.7090865
70600,0,587000,890579,8.4425395
0,0,0,0,18714.5711445
0,35040,600,0,1632.1893995
10830,25200,67379,1611723,27.3230105
300,40512,12050,153714,1415.2017965
0,14400,27126,0,988.282541
188200,597000,5240000,8890000,8.1731905
3000,7000,300,500000,2686.7037165
0,0,334718,533840.3300000001,54.517456
0,4800,0,55270,660.034882
100020,52080,176116,370824,3354.310319
4800,0,12301,459176,29.3466705
0,0,500,269103,279.888022
0,21600,15000,58895.4,2733.6867095
11019,0,873000,645000,20.987705
0,21000,2100,0,1861.018142
860,0,16000,315751,1003.992724
37274.5,63640.49999999999,25150,1075000,65.65948
16100,69600,72600,590000,2628.944771
0,0,1200,24040,2228.945019
0,0,600,360607,432.709024
0,0,1000,132222,51.4882945
0,51600,52000,122000,4485.4319055
45600,0,7650000,2837913,21.1158285
2160,0,28000,236211,1647.4236325
8000,0,1995504,2056728,9.318171
0,14400,1959,228384,1335.2313545
25,0,20000,42051,2155.8136605
0,0,1000,130000,965.0102565
53000,60000,4135000,2412000,12.0533585
353,0,38500,91803,997.7795455
0,0,12000,144233,1308.7789265
10,14400,500,90000,1700.9909805
0,0,276199,674224,20.732661
12000,0,5500,180304,1645.8568465
7220,3500,370000,695509,42.497306
0,26832,11196,120202,1385.481858
10000,24000,4070000,1010000,24.319897
0,47424,24000,367284,2248.80155
5000,0,185000,880000,135.4250855
22830,46320,370000,775000,26.0053415
0,43200,14000,285265,716.638147
700,67200,50000,185000,217.271798
1800,0,171000,820000,9.3413655
12,0,6800,44251,1888.712973
